,UF,FX_ANO_CADASTRO_FAM,SIT_ATUALIZACAO,FX_RFPC,CO_LOCAL_DOMIC_FAM,REG,VL_RENDA_MEDIA_FAM,QTD_PESSOAS,REGIAO
0,AC,1,0,1,1.0,2985,26.81019693508762,3.7922404715660387,N
1,AC,1,0,1,2.0,1414,25.018743104504825,4.0138130377266235,N
2,AC,1,0,2,1.0,611,158.65204712637717,4.692561552773061,N
3,AC,1,0,2,2.0,243,162.02392792887443,5.226505216411633,N
4,AC,1,0,3,1.0,1109,373.5468919607059,3.1699295290889724,N
5,AC,1,0,3,2.0,521,368.8392995244915,3.1377756908596273,N
6,AC,1,0,4,1.0,535,955.6792627017028,1.7305155638234786,N
7,AC,1,0,4,2.0,207,907.1959324965305,1.7698924480623044,N
8,AC,1,1,1,1.0,6286,24.63407177296473,3.7840807023661864,N
9,AC,1,1,1,2.0,3933,25.54515810608017,4.314806927574278,N
10,AC,1,1,2,1.0,778,160.21348147918718,4.801950267196171,N
11,AC,1,1,2,2.0,418,161.0596825942596,5.0742770872680225,N
12,AC,1,1,3,1.0,1161,390.831415022432,3.3374340027138008,N
13,AC,1,1,3,2.0,555,366.3616706518885,3.491975921803784,N
14,AC,1,1,4,1.0,375,997.1356266749125,1.9082482993197278,N
15,AC,1,1,4,2.0,120,989.437518037518,1.910407647907648,N
16,AC,2,0,1,1.0,3194,26.37867474182741,4.014978733849568,N
17,AC,2,0,1,2.0,2361,25.855825963564545,4.629937076427567,N
18,AC,2,0,2,1.0,506,162.2509072078933,4.827577826686247,N
19,AC,2,0,2,2.0,353,158.21620310551222,5.316347112117537,N
20,AC,2,0,3,1.0,772,354.2791174557405,3.382045233050668,N
21,AC,2,0,3,2.0,409,352.50777496014825,3.4149038076769167,N
22,AC,2,0,4,1.0,255,912.7580200501254,2.133888888888889,N
23,AC,2,0,4,2.0,135,916.4987361611311,1.944043981228855,N
24,AC,2,1,1,1.0,6970,24.07554313516383,4.216913505869557,N
25,AC,2,1,1,2.0,7287,23.01680282900975,4.917583907027862,N
26,AC,2,1,2,1.0,732,158.42551826175256,5.154666735302418,N
27,AC,2,1,2,2.0,683,154.25155807494832,5.630890983457107,N
28,AC,2,1,3,1.0,920,362.01453059402246,3.515168666637574,N
29,AC,2,1,3,2.0,543,357.7285409508432,3.816424119017134,N
30,AC,2,1,4,1.0,178,1000.3757354542731,1.9329704729233033,N
31,AC,2,1,4,2.0,84,1038.0242063492065,2.0404761904761903,N
32,AC,3,0,1,1.0,4351,27.04245093538184,3.306872873342044,N
33,AC,3,0,1,2.0,2909,24.344773858970008,3.907027030834916,N
34,AC,3,0,2,1.0,539,157.84244652253273,3.708699495724499,N
35,AC,3,0,2,2.0,236,154.050458030102,4.568889804725718,N
36,AC,3,0,3,1.0,845,373.6278176683825,2.98536206302127,N
37,AC,3,0,3,2.0,318,352.5838292200766,3.1280289861550035,N
38,AC,3,0,4,1.0,541,1023.7622352345178,1.6691896697851456,N
39,AC,3,0,4,2.0,141,979.766188334838,1.7013742273769012,N
40,AC,3,1,1,1.0,7942,25.072638844512497,3.711545088964586,N
41,AC,3,1,1,2.0,7560,22.96938400025309,4.31070467628927,N
42,AC,3,1,2,1.0,684,154.7250029797018,4.314530098364309,N
43,AC,3,1,2,2.0,402,155.79927295685405,4.796190457350653,N
44,AC,3,1,3,1.0,808,374.3299408878547,3.2997204909559597,N
45,AC,3,1,3,2.0,368,351.14682762179564,3.5869614791289988,N
46,AC,3,1,4,1.0,298,1057.0714856412849,1.7011843185200848,N
47,AC,3,1,4,2.0,68,939.9398148148149,1.8324074074074075,N
48,AC,4,0,1,1.0,8012,25.070611845136934,2.5568296536730197,N
49,AC,4,0,1,2.0,4618,25.52056323733016,2.718855878196903,N
50,AC,4,0,2,1.0,1195,165.0772317925239,2.9014737873875873,N
51,AC,4,0,2,2.0,349,164.56790062319394,2.758321110723604,N
52,AC,4,0,3,1.0,3409,414.93364766400924,2.5383547420071966,N
53,AC,4,0,3,2.0,1054,404.1957373140494,2.6128574746269475,N
54,AC,4,0,4,1.0,6129,1072.3050791472176,1.3610240129658957,N
55,AC,4,0,4,2.0,1943,995.6310472662186,1.377115693720495,N
56,AC,4,1,1,1.0,10597,25.208407967815507,2.7934774315555626,N
57,AC,4,1,1,2.0,8842,23.490609441441794,3.15082368240562,N
58,AC,4,1,2,1.0,1092,156.42050828348482,3.200794469411659,N
59,AC,4,1,2,2.0,419,152.97667021804867,3.5560061032146013,N
60,AC,4,1,3,1.0,2312,418.10077972924586,2.7974875436488764,N
61,AC,4,1,3,2.0,732,414.45731240482274,2.8467781210043763,N
62,AC,4,1,4,1.0,2550,1121.7490994292139,1.4997806383148402,N
63,AC,4,1,4,2.0,671,1076.3462143883648,1.5612734028475215,N
64,AC,5,0,1,1.0,611,26.770482001163817,2.0212716996807902,N
65,AC,5,0,1,2.0,306,28.783154883105475,2.1793975869685944,N
66,AC,5,0,2,1.0,111,174.2568734968735,2.726416546416546,N
67,AC,5,0,2,2.0,45,167.6405612244898,3.3564625850340133,N
68,AC,5,0,3,1.0,498,410.3646203954099,2.8001421910632436,N
69,AC,5,0,3,2.0,130,438.2771817007282,2.521452901104064,N
70,AC,5,0,4,1.0,737,1048.5935855601194,1.493441094241989,N
71,AC,5,0,4,2.0,245,1152.009257510165,1.3063943463296102,N
72,AC,5,1,1,1.0,13200,28.708984121666017,2.02882529925411,N
73,AC,5,1,1,2.0,7434,28.961222681221127,2.198388684051841,N
74,AC,5,1,2,1.0,2361,158.09517450410144,2.4297905228721492,N
75,AC,5,1,2,2.0,1014,163.2546353374214,2.271044630146655,N
76,AC,5,1,3,1.0,3668,400.35754436319564,2.4993867987801837,N
77,AC,5,1,3,2.0,1219,407.6238058993227,2.348426492391043,N
78,AC,5,1,4,1.0,2272,1206.2317476342732,1.5118752184759006,N
79,AC,5,1,4,2.0,856,1126.447840519147,1.5256771085873078,N
80,AL,1,0,1,1.0,16768,33.7949758948684,2.850326797453274,NE
81,AL,1,0,1,2.0,10012,30.815785876485226,3.076208461411658,NE
82,AL,1,0,2,1.0,2424,161.67691912559818,4.119450619058927,NE
83,AL,1,0,2,2.0,898,163.91739532386555,4.656411693820177,NE
84,AL,1,0,3,1.0,5481,393.2248066406523,2.832815569595909,NE
85,AL,1,0,3,2.0,2901,387.1238253953262,2.9004513495283386,NE
86,AL,1,0,4,1.0,4093,951.6570172683316,1.4471554802783786,NE
87,AL,1,0,4,2.0,2237,938.5620698199999,1.6216919403789805,NE
88,AL,1,1,1,1.0,29879,31.487566608407334,2.953881573312817,NE
89,AL,1,1,1,2.0,21294,30.359664013139064,3.229718550570554,NE
90,AL,1,1,2,1.0,2440,160.460092300956,4.404927065335863,NE
91,AL,1,1,2,2.0,1080,164.45987123171108,5.062796289857151,NE
92,AL,1,1,3,1.0,6738,413.5693760327594,3.016870402950323,NE
93,AL,1,1,3,2.0,3644,399.00239722693505,3.2096264050861993,NE
94,AL,1,1,4,1.0,3538,1053.6459306928873,1.5570403398993367,NE
95,AL,1,1,4,2.0,1577,1020.8702065714122,1.805793900223687,NE
96,AL,2,0,1,1.0,25965,32.95390838072621,3.114645611837912,NE
97,AL,2,0,1,2.0,10936,31.162580805474978,3.29578458407521,NE
98,AL,2,0,2,1.0,4351,162.91371973460394,3.9302459339739455,NE
99,AL,2,0,2,2.0,663,161.84047360156185,4.676280067043771,NE
100,AL,2,0,3,1.0,5467,377.8064628320981,2.9330529349410748,NE
101,AL,2,0,3,2.0,1452,373.59119470579196,2.878055530373149,NE
102,AL,2,0,4,1.0,2945,948.0356650206747,1.3668163631727608,NE
103,AL,2,0,4,2.0,969,942.8145353626853,1.4390552661555591,NE
104,AL,2,1,1,1.0,41829,30.321674127988484,3.307340240585139,NE
105,AL,2,1,1,2.0,25372,27.792620121591813,3.552004417481815,NE
106,AL,2,1,2,1.0,3446,161.65385078721457,4.550614539649297,NE
107,AL,2,1,2,2.0,953,161.84087681830158,5.009836394721055,NE
108,AL,2,1,3,1.0,6679,391.55125436662587,3.1522075681478405,NE
109,AL,2,1,3,2.0,2222,379.96447999661285,3.261946775121171,NE
110,AL,2,1,4,1.0,2490,1051.7842662083865,1.446843031263762,NE
111,AL,2,1,4,2.0,707,1035.1433407778482,1.635255029759425,NE
112,AL,3,0,1,1.0,22956,33.41777930080229,2.6936811241961096,NE
113,AL,3,0,1,2.0,9693,31.117629107784797,2.767665272385403,NE
114,AL,3,0,2,1.0,2668,161.24356552701127,3.1123554288175703,NE
115,AL,3,0,2,2.0,320,156.2531088875387,3.4940860674413305,NE
116,AL,3,0,3,1.0,3902,386.1525430419709,2.6567246530228643,NE
117,AL,3,0,3,2.0,866,394.67434050886175,2.758340429525693,NE
118,AL,3,0,4,1.0,5945,1002.2004965165353,1.2935904901808857,NE
119,AL,3,0,4,2.0,1573,978.6649141106101,1.3723192403098985,NE
