,UF,FX_ANO_CADASTRO_FAM,FX_RFPC,CO_PRINCIPAL_TRAB_MEMB,CO_SABE_LER_ESCREVER_MEMB,SIT_ATUALIZACAO,REG,IDADE
0,AC,1,1,1.0,1.0,0,1453,45.06669381247018
1,AC,1,1,1.0,1.0,1,2940,45.27792250300361
2,AC,1,1,1.0,2.0,0,408,51.685434594866415
3,AC,1,1,1.0,2.0,1,1018,50.5136596190811
4,AC,1,1,2.0,1.0,0,120,48.906292517006804
5,AC,1,1,2.0,1.0,1,309,45.60691828264316
6,AC,1,1,2.0,2.0,0,72,49.70559056956115
7,AC,1,1,2.0,2.0,1,182,49.53200359264432
8,AC,1,1,3.0,1.0,0,46,38.95166666666667
9,AC,1,1,3.0,1.0,1,75,39.906701940035276
10,AC,1,1,3.0,2.0,0,5,51.125
11,AC,1,1,3.0,2.0,1,13,53.611111111111114
12,AC,1,1,4.0,1.0,0,59,40.303333333333335
13,AC,1,1,4.0,1.0,1,92,38.434316730523626
14,AC,1,1,4.0,2.0,0,1,60.0
15,AC,1,1,4.0,2.0,1,7,41.9
16,AC,1,1,5.0,1.0,0,48,42.58680555555556
17,AC,1,1,5.0,1.0,1,64,42.810755211175376
18,AC,1,1,5.0,2.0,0,6,53.833333333333336
19,AC,1,1,5.0,2.0,1,17,50.196969696969695
20,AC,1,1,6.0,1.0,0,3,44.0
21,AC,1,1,6.0,1.0,1,10,44.75
22,AC,1,1,6.0,2.0,0,2,44.5
23,AC,1,1,6.0,2.0,1,2,48.5
24,AC,1,1,7.0,1.0,0,110,45.951465201465204
25,AC,1,1,7.0,1.0,1,474,43.452733417351666
26,AC,1,1,7.0,2.0,0,51,54.38095238095238
27,AC,1,1,7.0,2.0,1,321,50.41799089303968
28,AC,1,1,8.0,1.0,0,3,36.0
29,AC,1,1,8.0,1.0,1,8,43.166666666666664
30,AC,1,1,8.0,2.0,1,1,42.0
31,AC,1,1,10.0,1.0,0,9,37.19047619047619
32,AC,1,1,10.0,1.0,1,4,23.0
33,AC,1,1,11.0,1.0,0,3,22.666666666666668
34,AC,1,1,11.0,1.0,1,2,21.0
35,AC,1,2,1.0,1.0,0,296,46.62706712349306
36,AC,1,2,1.0,1.0,1,411,44.85063097974997
37,AC,1,2,1.0,2.0,0,50,51.20333333333333
38,AC,1,2,1.0,2.0,1,72,52.43028322440087
39,AC,1,2,2.0,1.0,0,20,52.724489795918366
40,AC,1,2,2.0,1.0,1,36,47.235317460317454
41,AC,1,2,2.0,2.0,0,6,56.875
42,AC,1,2,2.0,2.0,1,7,49.57142857142857
43,AC,1,2,3.0,1.0,0,38,41.739669421487605
44,AC,1,2,3.0,1.0,1,32,40.180952380952384
45,AC,1,2,3.0,2.0,0,5,51.25
46,AC,1,2,3.0,2.0,1,4,50.25
47,AC,1,2,4.0,1.0,0,107,44.75365978626848
48,AC,1,2,4.0,1.0,1,128,41.204461422373136
49,AC,1,2,4.0,2.0,0,13,49.44444444444444
50,AC,1,2,4.0,2.0,1,10,51.55555555555555
51,AC,1,2,5.0,1.0,0,13,45.46666666666667
52,AC,1,2,5.0,1.0,1,10,36.85
53,AC,1,2,5.0,2.0,0,1,34.0
54,AC,1,2,5.0,2.0,1,2,40.5
55,AC,1,2,6.0,1.0,0,3,44.0
56,AC,1,2,6.0,1.0,1,3,39.75
57,AC,1,2,6.0,2.0,1,1,45.0
58,AC,1,2,7.0,1.0,0,9,42.07142857142857
59,AC,1,2,7.0,1.0,1,65,37.11487414187643
60,AC,1,2,7.0,2.0,0,8,54.0
61,AC,1,2,7.0,2.0,1,42,56.50333333333333
62,AC,1,2,8.0,1.0,0,18,48.59027777777778
63,AC,1,2,8.0,1.0,1,14,40.53703703703704
64,AC,1,2,8.0,2.0,0,1,49.0
65,AC,1,2,8.0,2.0,1,2,46.5
66,AC,1,2,10.0,1.0,0,1,45.0
67,AC,1,2,10.0,1.0,1,1,22.0
68,AC,1,2,11.0,1.0,0,5,19.375
69,AC,1,2,11.0,1.0,1,2,17.5
70,AC,1,3,1.0,1.0,0,263,47.02087230107354
71,AC,1,3,1.0,1.0,1,266,47.17132082561342
72,AC,1,3,1.0,2.0,0,62,54.9503663003663
73,AC,1,3,1.0,2.0,1,60,53.10735544217687
74,AC,1,3,2.0,1.0,0,24,47.13194444444445
75,AC,1,3,2.0,1.0,1,19,43.5
76,AC,1,3,2.0,2.0,0,7,58.833333333333336
77,AC,1,3,2.0,2.0,1,4,52.75
78,AC,1,3,3.0,1.0,0,48,44.89778911564626
79,AC,1,3,3.0,1.0,1,46,41.4325925925926
80,AC,1,3,3.0,2.0,0,8,53.833333333333336
81,AC,1,3,3.0,2.0,1,4,45.5
82,AC,1,3,4.0,1.0,0,185,43.30568870283156
83,AC,1,3,4.0,1.0,1,156,41.01471881962848
84,AC,1,3,4.0,2.0,0,25,53.4375
85,AC,1,3,4.0,2.0,1,16,53.560606060606055
86,AC,1,3,5.0,1.0,0,12,46.416666666666664
87,AC,1,3,5.0,1.0,1,7,39.25
88,AC,1,3,5.0,2.0,0,2,60.0
89,AC,1,3,5.0,2.0,1,1,53.0
90,AC,1,3,6.0,1.0,0,16,48.82727272727273
91,AC,1,3,6.0,1.0,1,4,43.33333333333333
92,AC,1,3,6.0,2.0,0,2,48.0
93,AC,1,3,7.0,1.0,0,34,50.307792207792204
94,AC,1,3,7.0,1.0,1,46,44.35454545454545
95,AC,1,3,7.0,2.0,0,25,58.8640350877193
96,AC,1,3,7.0,2.0,1,45,49.4
97,AC,1,3,8.0,1.0,0,29,44.084848484848486
98,AC,1,3,8.0,1.0,1,26,42.510416666666664
99,AC,1,3,8.0,2.0,0,4,56.166666666666664
100,AC,1,3,8.0,2.0,1,2,50.0
101,AC,1,3,9.0,2.0,1,1,78.0
102,AC,1,3,10.0,1.0,0,5,25.833333333333336
103,AC,1,3,10.0,1.0,1,6,22.75
104,AC,1,3,11.0,1.0,0,2,20.5
105,AC,1,3,11.0,1.0,1,4,19.5
106,AC,1,4,1.0,1.0,0,36,46.675925925925924
107,AC,1,4,1.0,1.0,1,16,48.93055555555555
108,AC,1,4,1.0,2.0,0,7,55.5
109,AC,1,4,1.0,2.0,1,6,53.125
110,AC,1,4,2.0,1.0,0,1,64.0
111,AC,1,4,2.0,1.0,1,3,50.75
112,AC,1,4,2.0,2.0,0,2,60.5
113,AC,1,4,3.0,1.0,0,13,41.69047619047619
114,AC,1,4,3.0,1.0,1,19,45.42666666666666
115,AC,1,4,3.0,2.0,0,2,61.5
116,AC,1,4,4.0,1.0,0,58,44.64578005115089
117,AC,1,4,4.0,1.0,1,30,47.316017316017316
118,AC,1,4,4.0,2.0,0,7,49.4
119,AC,1,4,4.0,2.0,1,2,42.0
120,AC,1,4,5.0,1.0,1,4,54.0
121,AC,1,4,6.0,1.0,0,3,54.75
122,AC,1,4,6.0,1.0,1,2,45.5
123,AC,1,4,7.0,1.0,0,10,63.416666666666664
124,AC,1,4,7.0,1.0,1,2,48.0
125,AC,1,4,7.0,2.0,0,14,67.95454545454545
126,AC,1,4,7.0,2.0,1,7,65.16666666666667
127,AC,1,4,8.0,1.0,0,14,47.125
128,AC,1,4,8.0,1.0,1,15,52.916666666666664
129,AC,1,4,8.0,2.0,0,2,63.5
130,AC,1,4,9.0,2.0,1,1,51.0
131,AC,1,4,10.0,1.0,0,1,22.0
132,AC,2,1,1.0,1.0,0,1690,41.04982983192738
133,AC,2,1,1.0,1.0,1,4248,40.45262292761185
134,AC,2,1,1.0,2.0,0,476,46.33767942072812
135,AC,2,1,1.0,2.0,1,1394,45.71309738396177
136,AC,2,1,2.0,1.0,0,291,43.65764641769331
137,AC,2,1,2.0,1.0,1,736,41.71102017819023
138,AC,2,1,2.0,2.0,0,100,47.829938753810936
139,AC,2,1,2.0,2.0,1,317,47.95442048205206
140,AC,2,1,3.0,1.0,0,69,40.82109375
141,AC,2,1,3.0,1.0,1,129,39.70368797868798
142,AC,2,1,3.0,2.0,0,7,43.142857142857146
143,AC,2,1,3.0,2.0,1,15,45.0
144,AC,2,1,4.0,1.0,0,61,36.31959706959707
145,AC,2,1,4.0,1.0,1,100,36.39004713848464
146,AC,2,1,4.0,2.0,0,4,46.5
147,AC,2,1,4.0,2.0,1,10,39.666666666666664
148,AC,2,1,5.0,1.0,0,40,41.51326530612245
149,AC,2,1,5.0,1.0,1,78,39.857509157509156
150,AC,2,1,5.0,2.0,0,3,40.333333333333336
151,AC,2,1,5.0,2.0,1,17,43.822916666666664
152,AC,2,1,6.0,1.0,0,1,41.0
153,AC,2,1,6.0,1.0,1,9,36.1
154,AC,2,1,6.0,2.0,1,2,47.5
155,AC,2,1,7.0,1.0,0,102,39.117115063079495
156,AC,2,1,7.0,1.0,1,679,37.58673196890575
157,AC,2,1,7.0,2.0,0,58,46.93393640350877
158,AC,2,1,7.0,2.0,1,395,44.95339285714285
159,AC,2,1,8.0,1.0,0,6,46.416666666666664
160,AC,2,1,8.0,1.0,1,10,40.85
161,AC,2,1,8.0,2.0,1,2,46.0
162,AC,2,1,9.0,1.0,0,1,45.0
163,AC,2,1,10.0,1.0,0,5,26.5
164,AC,2,1,10.0,1.0,1,5,29.833333333333336
165,AC,2,1,11.0,1.0,0,7,20.0
166,AC,2,1,11.0,1.0,1,7,21.25
167,AC,2,2,1.0,1.0,0,278,44.05791659657976
168,AC,2,2,1.0,1.0,1,500,42.1538920790781
169,AC,2,2,1.0,2.0,0,56,46.443333333333335
170,AC,2,2,1.0,2.0,1,82,44.76637426900585
171,AC,2,2,2.0,1.0,0,29,42.70583333333333
172,AC,2,2,2.0,1.0,1,69,44.78706089232405
173,AC,2,2,2.0,2.0,0,5,45.833333333333336
174,AC,2,2,2.0,2.0,1,16,48.2125
175,AC,2,2,3.0,1.0,0,36,37.33888888888889
176,AC,2,2,3.0,1.0,1,65,39.92731829573935
177,AC,2,2,3.0,2.0,0,2,45.0
178,AC,2,2,3.0,2.0,1,5,45.4
179,AC,2,2,4.0,1.0,0,102,40.37483518659989
