UF,FX_ANO_CADASTRO_FAM,FX_RFPC,CO_PRINCIPAL_TRAB_MEMB,CO_SABE_LER_ESCREVER_MEMB,SIT_ATUALIZACAO,REG,IDADE
AC,1,1,1.0,1.0,0,1453,45.06669381247018
AC,1,1,1.0,1.0,1,2940,45.27792250300361
AC,1,1,1.0,2.0,0,408,51.685434594866415
AC,1,1,1.0,2.0,1,1018,50.5136596190811
AC,1,1,2.0,1.0,0,120,48.906292517006804
AC,1,1,2.0,1.0,1,309,45.60691828264316
AC,1,1,2.0,2.0,0,72,49.70559056956115
AC,1,1,2.0,2.0,1,182,49.53200359264432
AC,1,1,3.0,1.0,0,46,38.95166666666667
AC,1,1,3.0,1.0,1,75,39.906701940035276
AC,1,1,3.0,2.0,0,5,51.125
AC,1,1,3.0,2.0,1,13,53.611111111111114
AC,1,1,4.0,1.0,0,59,40.303333333333335
AC,1,1,4.0,1.0,1,92,38.434316730523626
AC,1,1,4.0,2.0,0,1,60.0
AC,1,1,4.0,2.0,1,7,41.9
AC,1,1,5.0,1.0,0,48,42.58680555555556
AC,1,1,5.0,1.0,1,64,42.810755211175376
AC,1,1,5.0,2.0,0,6,53.833333333333336
AC,1,1,5.0,2.0,1,17,50.196969696969695
AC,1,1,6.0,1.0,0,3,44.0
AC,1,1,6.0,1.0,1,10,44.75
AC,1,1,6.0,2.0,0,2,44.5
AC,1,1,6.0,2.0,1,2,48.5
AC,1,1,7.0,1.0,0,110,45.951465201465204
AC,1,1,7.0,1.0,1,474,43.452733417351666
AC,1,1,7.0,2.0,0,51,54.38095238095238
AC,1,1,7.0,2.0,1,321,50.41799089303968
AC,1,1,8.0,1.0,0,3,36.0
AC,1,1,8.0,1.0,1,8,43.166666666666664
AC,1,1,8.0,2.0,1,1,42.0
AC,1,1,10.0,1.0,0,9,37.19047619047619
AC,1,1,10.0,1.0,1,4,23.0
AC,1,1,11.0,1.0,0,3,22.666666666666668
AC,1,1,11.0,1.0,1,2,21.0
AC,1,2,1.0,1.0,0,296,46.62706712349306
AC,1,2,1.0,1.0,1,411,44.85063097974997
AC,1,2,1.0,2.0,0,50,51.20333333333333
AC,1,2,1.0,2.0,1,72,52.43028322440087
AC,1,2,2.0,1.0,0,20,52.724489795918366
AC,1,2,2.0,1.0,1,36,47.235317460317454
AC,1,2,2.0,2.0,0,6,56.875
AC,1,2,2.0,2.0,1,7,49.57142857142857
AC,1,2,3.0,1.0,0,38,41.739669421487605
AC,1,2,3.0,1.0,1,32,40.180952380952384
AC,1,2,3.0,2.0,0,5,51.25
AC,1,2,3.0,2.0,1,4,50.25
AC,1,2,4.0,1.0,0,107,44.75365978626848
AC,1,2,4.0,1.0,1,128,41.204461422373136
AC,1,2,4.0,2.0,0,13,49.44444444444444
AC,1,2,4.0,2.0,1,10,51.55555555555555
AC,1,2,5.0,1.0,0,13,45.46666666666667
AC,1,2,5.0,1.0,1,10,36.85
AC,1,2,5.0,2.0,0,1,34.0
AC,1,2,5.0,2.0,1,2,40.5
AC,1,2,6.0,1.0,0,3,44.0
AC,1,2,6.0,1.0,1,3,39.75
AC,1,2,6.0,2.0,1,1,45.0
AC,1,2,7.0,1.0,0,9,42.07142857142857
AC,1,2,7.0,1.0,1,65,37.11487414187643
AC,1,2,7.0,2.0,0,8,54.0
AC,1,2,7.0,2.0,1,42,56.50333333333333
AC,1,2,8.0,1.0,0,18,48.59027777777778
AC,1,2,8.0,1.0,1,14,40.53703703703704
AC,1,2,8.0,2.0,0,1,49.0
AC,1,2,8.0,2.0,1,2,46.5
AC,1,2,10.0,1.0,0,1,45.0
AC,1,2,10.0,1.0,1,1,22.0
AC,1,2,11.0,1.0,0,5,19.375
AC,1,2,11.0,1.0,1,2,17.5
AC,1,3,1.0,1.0,0,263,47.02087230107354
AC,1,3,1.0,1.0,1,266,47.17132082561342
AC,1,3,1.0,2.0,0,62,54.9503663003663
AC,1,3,1.0,2.0,1,60,53.10735544217687
AC,1,3,2.0,1.0,0,24,47.13194444444445
AC,1,3,2.0,1.0,1,19,43.5
AC,1,3,2.0,2.0,0,7,58.833333333333336
AC,1,3,2.0,2.0,1,4,52.75
AC,1,3,3.0,1.0,0,48,44.89778911564626
AC,1,3,3.0,1.0,1,46,41.4325925925926
AC,1,3,3.0,2.0,0,8,53.833333333333336
AC,1,3,3.0,2.0,1,4,45.5
AC,1,3,4.0,1.0,0,185,43.30568870283156
AC,1,3,4.0,1.0,1,156,41.01471881962848
AC,1,3,4.0,2.0,0,25,53.4375
AC,1,3,4.0,2.0,1,16,53.560606060606055
AC,1,3,5.0,1.0,0,12,46.416666666666664
AC,1,3,5.0,1.0,1,7,39.25
AC,1,3,5.0,2.0,0,2,60.0
AC,1,3,5.0,2.0,1,1,53.0
AC,1,3,6.0,1.0,0,16,48.82727272727273
AC,1,3,6.0,1.0,1,4,43.33333333333333
AC,1,3,6.0,2.0,0,2,48.0
AC,1,3,7.0,1.0,0,34,50.307792207792204
AC,1,3,7.0,1.0,1,46,44.35454545454545
AC,1,3,7.0,2.0,0,25,58.8640350877193
AC,1,3,7.0,2.0,1,45,49.4
AC,1,3,8.0,1.0,0,29,44.084848484848486
AC,1,3,8.0,1.0,1,26,42.510416666666664
AC,1,3,8.0,2.0,0,4,56.166666666666664
AC,1,3,8.0,2.0,1,2,50.0
AC,1,3,9.0,2.0,1,1,78.0
AC,1,3,10.0,1.0,0,5,25.833333333333336
AC,1,3,10.0,1.0,1,6,22.75
AC,1,3,11.0,1.0,0,2,20.5
AC,1,3,11.0,1.0,1,4,19.5
AC,1,4,1.0,1.0,0,36,46.675925925925924
AC,1,4,1.0,1.0,1,16,48.93055555555555
AC,1,4,1.0,2.0,0,7,55.5
AC,1,4,1.0,2.0,1,6,53.125
AC,1,4,2.0,1.0,0,1,64.0
AC,1,4,2.0,1.0,1,3,50.75
AC,1,4,2.0,2.0,0,2,60.5
AC,1,4,3.0,1.0,0,13,41.69047619047619
AC,1,4,3.0,1.0,1,19,45.42666666666666
AC,1,4,3.0,2.0,0,2,61.5
AC,1,4,4.0,1.0,0,58,44.64578005115089
AC,1,4,4.0,1.0,1,30,47.316017316017316
AC,1,4,4.0,2.0,0,7,49.4
AC,1,4,4.0,2.0,1,2,42.0
AC,1,4,5.0,1.0,1,4,54.0
AC,1,4,6.0,1.0,0,3,54.75
AC,1,4,6.0,1.0,1,2,45.5
AC,1,4,7.0,1.0,0,10,63.416666666666664
AC,1,4,7.0,1.0,1,2,48.0
AC,1,4,7.0,2.0,0,14,67.95454545454545
AC,1,4,7.0,2.0,1,7,65.16666666666667
AC,1,4,8.0,1.0,0,14,47.125
AC,1,4,8.0,1.0,1,15,52.916666666666664
AC,1,4,8.0,2.0,0,2,63.5
AC,1,4,9.0,2.0,1,1,51.0
